Date,last_close,last_open,last_max,last_min,change_precent,Open,High,Low,Close,adj_close_brent,Volume
2022-11-21,107.83,106.97,107.99,106.89,0.85,87.80000305175781,88.04000091552734,82.31999969482422,87.44999694824219,87.44999694824219,39835
2022-11-18,106.93,106.69,107.04,106.34,0.22,89.9800033569336,90.61000061035156,85.79000091552734,87.62000274658203,87.62000274658203,34614
2022-11-17,106.69,106.27,107.24,106.1,0.39,92.8000030517578,92.87999725341795,89.54000091552734,89.77999877929688,89.77999877929688,29012
2022-11-16,106.28,106.58,106.78,105.86,-0.12,93.76000213623048,94.77999877929688,91.68000030517578,92.86000061035156,92.86000061035156,22376
2022-11-15,106.4,107.0,107.1,105.34,-0.24,92.52999877929688,95.75,91.52999877929688,93.86000061035156,93.86000061035156,30904
2022-11-14,106.66,106.42,107.27,106.48,0.35,95.97000122070312,96.91999816894533,92.48999786376952,93.13999938964844,93.13999938964844,22959
2022-11-11,106.29,108.24,108.44,106.28,-1.77,93.2699966430664,96.91999816894533,93.2699966430664,95.98999786376952,95.98999786376952,23629
2022-11-10,108.21,110.3,110.99,107.71,-2.12,92.54000091552734,94.30999755859376,91.69000244140624,93.66999816894533,93.66999816894533,31486
2022-11-09,110.55,109.65,110.64,109.45,0.83,95.01000213623048,95.69000244140624,92.3000030517578,92.6500015258789,92.6500015258789,26729
2022-11-08,109.64,110.06,110.61,109.37,-0.44,98.0,98.2699966430664,94.9800033569336,95.36000061035156,95.36000061035156,28901
2022-11-07,110.12,110.79,111.27,110.05,-0.68,97.77999877929688,99.55999755859376,96.6999969482422,97.91999816894533,97.91999816894533,22568
2022-11-04,110.88,112.97,112.99,110.71,-1.82,94.4800033569336,98.81999969482422,94.33999633789062,98.56999969482422,98.56999969482422,31256
2022-11-03,112.93,112.17,113.15,111.82,1.42,95.66000366210938,95.94000244140624,94.16000366210938,94.66999816894533,94.66999816894533,21292
2022-11-02,111.35,111.54,112.15,110.43,-0.12,94.66999816894533,96.47000122070312,93.98999786376952,96.16000366210938,96.16000366210938,28689
2022-11-01,111.48,111.52,111.78,110.72,-0.04,92.8000030517578,95.5500030517578,92.36000061035156,94.6500015258789,94.6500015258789,21355
2022-10-31,111.53,110.67,111.67,110.72,0.7,96.0,96.0,94.31999969482422,94.83000183105467,94.83000183105467,23096
2022-10-28,110.75,110.5,111.04,110.29,0.15,96.77999877929688,96.88999938964844,95.0,95.7699966430664,95.7699966430664,12135
2022-10-27,110.59,109.62,110.62,109.54,0.81,96.16000366210938,97.27999877929688,95.08000183105467,96.95999908447266,96.95999908447266,14677
2022-10-26,109.7,110.96,111.14,109.63,-1.13,93.25,96.19000244140624,92.04000091552734,95.69000244140624,95.69000244140624,15637
2022-10-25,110.95,111.82,112.13,110.76,-0.93,93.55999755859376,94.37000274658205,91.62999725341795,93.5199966430664,93.5199966430664,22553
2022-10-24,111.99,111.88,112.53,111.47,-0.02,93.61000061035156,94.44000244140624,91.20999908447266,93.26000213623048,93.26000213623048,28074
2022-10-21,112.01,112.94,113.94,111.7,-0.77,92.79000091552734,93.8000030517578,91.0199966430664,93.5,93.5,26861
2022-10-20,112.88,112.99,113.09,112.17,-0.09,92.51000213623048,94.7699966430664,91.91999816894533,92.37999725341795,92.37999725341795,40748
2022-10-19,112.98,111.91,113.1,111.92,0.76,90.79000091552734,92.83999633789062,89.37999725341797,92.41000366210938,92.41000366210938,43364
2022-10-18,112.13,112.07,112.46,111.77,0.08,92.0199966430664,92.6500015258789,88.7699966430664,90.02999877929688,90.02999877929688,40941
2022-10-17,112.04,113.22,113.22,111.92,-1.12,91.70999908447266,93.2300033569336,90.83999633789062,91.62000274658205,91.62000274658205,23783
2022-10-14,113.31,112.47,113.42,112.16,0.84,94.75,95.11000061035156,91.2699966430664,91.62999725341795,91.62999725341795,29344
2022-10-13,112.36,113.24,113.92,112.15,-0.84,92.47000122070312,94.9000015258789,91.08999633789062,94.56999969482422,94.56999969482422,32826
2022-10-12,113.32,113.31,113.59,113.05,0.09,93.69000244140624,95.16999816894533,91.58000183105467,92.4499969482422,92.4499969482422,29821
2022-10-11,113.22,113.08,113.5,112.41,0.07,96.1500015258789,96.4499969482422,93.11000061035156,94.29000091552734,94.29000091552734,31431
2022-10-10,113.14,112.75,113.33,112.62,0.31,98.6999969482422,98.76000213623048,95.62000274658205,96.19000244140624,96.19000244140624,24699
