year,co_co
2013,-0.5309312941542665
2014,-0.954018793086242
2015,-0.30305573665181584
2016,0.07989686699663752
2017,-0.28428413425970034
2018,0.09684584234056358
2019,-0.10823376729098039
2020,-0.3233557864608661
2021,0.6506345650209584
2022,-0.13692956336750461
